,L1,L2,L3,R1,R2,R3,GV1,GV2,GV3,W1,W2.1,W2.1,S1,S2,S3,S4
Вариант 1,Education and Learning,People and Society,Health and Fitness,Travel and Transport,Travel and Transport,People and Society,Entertainment,People and Society,Money and Shopping,Work and Business,Weather and Environment,Education and Learning,Weather and Environment,"Hobbies, Sport and Games","Hobbies, Sport and Games",Food and Drink
Вариант 2,Food and Drink,Education and Learning,Entertainment,Weather and Environment,Food and Drink,People and Society,Science and Technology,Entertainment,People and Society,Entertainment,"Hobbies, Sport and Games",Travel and Transport,Weather and Environment,Weather and Environment,People and Society,People and Society
Вариант 3,Education and Learning,Entertainment,Weather and Environment,"Hobbies, Sport and Games",Fashion and Design,People and Society,Entertainment,Weather and Environment,Education and Learning,Science and Technology,Health and Fitness,Science and Technology,Weather and Environment,Entertainment,"Hobbies, Sport and Games",People and Society
Вариант 4,People and Society,"Hobbies, Sport and Games",Work and Business,Travel and Transport,Science and Technology,Travel and Transport,Travel and Transport,Entertainment,Work and Business,Weather and Environment,People and Society,People and Society,"Hobbies, Sport and Games",Fashion and Design,"Hobbies, Sport and Games",People and Society
Вариант 5,Education and Learning,Work and Business,Education and Learning,Science and Technology,Entertainment,Food and Drink,Travel and Transport,Weather and Environment,Work and Business,"Hobbies, Sport and Games",Entertainment,Education and Learning,Fashion and Design,Food and Drink,"Hobbies, Sport and Games",Fashion and Design
Вариант 6,Weather and Environment,Science and Technology,Travel and Transport,Travel and Transport,Travel and Transport,Science and Technology,Science and Technology,People and Society,Travel and Transport,Entertainment,"Hobbies, Sport and Games",People and Society,Weather and Environment,Entertainment,"Hobbies, Sport and Games","Hobbies, Sport and Games"
Вариант 7,Travel and Transport,Education and Learning,Science and Technology,"Hobbies, Sport and Games",Travel and Transport,People and Society,Food and Drink,Health and Fitness,Food and Drink,Education and Learning,Work and Business,Science and Technology,Health and Fitness,People and Society,Education and Learning,People and Society
Вариант 8,Education and Learning,Entertainment,"Hobbies, Sport and Games",People and Society,Travel and Transport,Science and Technology,The Law and Crime,Health and Fitness,Health and Fitness,Travel and Transport,Travel and Transport,People and Society,Weather and Environment,Travel and Transport,People and Society,Entertainment
Вариант 9,Education and Learning,Money and Shopping,People and Society,Food and Drink,Travel and Transport,Science and Technology,Entertainment,Health and Fitness,Entertainment,"Hobbies, Sport and Games",Science and Technology,People and Society,Fashion and Design,"Hobbies, Sport and Games",Weather and Environment,Food and Drink
Вариант 10,Health and Fitness,Travel and Transport,The Media,Weather and Environment,Travel and Transport,The Media,People and Society,People and Society,Travel and Transport,Fashion and Design,"Hobbies, Sport and Games","Hobbies, Sport and Games",Science and Technology,Entertainment,"Hobbies, Sport and Games",Education and Learning
Вариант 11,,,,,,,,,,,,,,,,
Вариант 12,,,,,,,,,,,,,,,,
Вариант 13,,,,,,,,,,,,,,,,
Вариант 14,,,,,,,,,,,,,,,,
Вариант 15,,,,,,,,,,,,,,,,
Вариант 16,,,,,,,,,,,,,,,,
Вариант 17,,,,,,,,,,,,,,,,
Вариант 18,,,,,,,,,,,,,,,,
Вариант 19,,,,,,,,,,,,,,,,
Вариант 20,,,,,,,,,,,,,,,,
